,state,division_name,polling_place_name,premises_suburb,latitude,longitude,geom
708,NSW,Eden-Monaro,Araluen,ARALUEN,-35.6518827,149.8133351,POINT (-35.6518827 149.8133351)
709,NSW,Eden-Monaro,Batlow,BATLOW,-35.5215,148.147,POINT (-35.5215 148.147)
710,NSW,Eden-Monaro,Bega,BEGA,-36.6783,149.839,POINT (-36.6783 149.839)
711,NSW,Eden-Monaro,Bega Central,BEGA,-36.6707,149.841,POINT (-36.6707 149.841)
712,NSW,Eden-Monaro,Bega PPVC,BEGA,-36.6889097,149.8416404,POINT (-36.6889097 149.8416404)
713,NSW,Eden-Monaro,Bemboka,BEMBOKA,-36.6266215,149.5678036,POINT (-36.6266215 149.5678036)
714,NSW,Eden-Monaro,Bermagui,BERMAGUI,-36.428896,150.076031,POINT (-36.428896 150.076031)
715,NSW,Eden-Monaro,Berridale,BERRIDALE,-36.37226,148.82908,POINT (-36.37226 148.82908)
716,NSW,Eden-Monaro,Binalong,BINALONG,-34.6698703,148.6251819,POINT (-34.6698703 148.6251819)
717,NSW,Eden-Monaro,BLV Eden Monaro PPVC,TURNER,-35.3522756,149.2320236,POINT (-35.3522756 149.2320236)
718,NSW,Eden-Monaro,Bodalla,BODALLA,-36.0976,150.053,POINT (-36.0976 150.053)
719,NSW,Eden-Monaro,Bombala,BOMBALA,-36.9168,149.232,POINT (-36.9168 149.232)
720,NSW,Eden-Monaro,Bowning,BOWNING,-34.7674,148.819,POINT (-34.7674 148.819)
721,NSW,Eden-Monaro,Braidwood,BRAIDWOOD,-35.4413,149.798,POINT (-35.4413 149.798)
722,NSW,Eden-Monaro,Bredbo,BREDBO,-35.9539528,149.1481667,POINT (-35.9539528 149.1481667)
723,NSW,Eden-Monaro,Brogo,BROGO,-36.573957,149.8233891,POINT (-36.573957 149.8233891)
724,NSW,Eden-Monaro,Bungendore,BUNGENDORE,-35.2552,149.445,POINT (-35.2552 149.445)
725,NSW,Eden-Monaro,Bungendore North,BUNGENDORE,-35.2516064,149.4417545,POINT (-35.2516064 149.4417545)
726,NSW,Eden-Monaro,Candelo,CANDELO,-36.766319,149.696075,POINT (-36.766319 149.696075)
727,NSW,Eden-Monaro,Captains Flat,CAPTAINS FLAT,-35.59185,149.44533,POINT (-35.59185 149.44533)
728,NSW,Eden-Monaro,Central Tilba,CENTRAL TILBA,-36.3126,150.076,POINT (-36.3126 150.076)
729,NSW,Eden-Monaro,Cobargo,COBARGO,-36.3890048,149.8891246,POINT (-36.3890048 149.8891246)
730,NSW,Eden-Monaro,Cooma,COOMA,-36.2375,149.125,POINT (-36.2375 149.125)
731,NSW,Eden-Monaro,Cooma North,COOMA NORTH,-36.2182844,149.1312397,POINT (-36.2182844 149.1312397)
732,NSW,Eden-Monaro,Cooma PPVC,COOMA,-36.236464,149.1249407,POINT (-36.236464 149.1249407)
733,NSW,Eden-Monaro,Dalgety,DALGETY,-36.5028,148.837,POINT (-36.5028 148.837)
734,NSW,Eden-Monaro,Dalmeny,DALMENY,-36.1618,150.12,POINT (-36.1618 150.12)
735,NSW,Eden-Monaro,Delegate,DELEGATE,-37.0415,148.938,POINT (-37.0415 148.938)
736,NSW,Eden-Monaro,Divisional Office (PREPOLL),TURNER,-35.270926,149.129899,POINT (-35.270926 149.129899)
737,NSW,Eden-Monaro,Eden,EDEN,-37.0561,149.907,POINT (-37.0561 149.907)
738,NSW,Eden-Monaro,Googong,GOOGONG,-35.4229095,149.2338288,POINT (-35.4229095 149.2338288)
739,NSW,Eden-Monaro,Gundaroo,GUNDAROO,-35.0301,149.271,POINT (-35.0301 149.271)
740,NSW,Eden-Monaro,Jerrabomberra,JERRABOMBERRA,-35.3864,149.199,POINT (-35.3864 149.199)
741,NSW,Eden-Monaro,Jindabyne,JINDABYNE,-36.4151245,148.6236223,POINT (-36.4151245 148.6236223)
742,NSW,Eden-Monaro,Jindabyne PPVC,JINDABYNE,-36.4326256,148.6134518,POINT (-36.4326256 148.6134518)
743,NSW,Eden-Monaro,Jingellic,JINGELLIC,-35.9257,147.697,POINT (-35.9257 147.697)
744,NSW,Eden-Monaro,Khancoban,KHANCOBAN,-36.2179037,148.1296333,POINT (-36.2179037 148.1296333)
745,NSW,Eden-Monaro,Majors Creek,MAJORS CREEK,-35.569,149.742,POINT (-35.569 149.742)
746,NSW,Eden-Monaro,Merimbula,MERIMBULA,-36.887,149.917,POINT (-36.887 149.917)
747,NSW,Eden-Monaro,Merimbula Central,MERIMBULA,-36.8925,149.906,POINT (-36.8925 149.906)
748,NSW,Eden-Monaro,Merimbula PPVC,MERIMBULA,-36.8920162,149.9085506,POINT (-36.8920162 149.9085506)
749,NSW,Eden-Monaro,Michelago,MICHELAGO,-35.7056,149.161,POINT (-35.7056 149.161)
750,NSW,Eden-Monaro,Murrumbateman,MURRUMBATEMAN,-34.9694,149.03126,POINT (-34.9694 149.03126)
751,NSW,Hunter,Charlestown HUNTER PPVC,CHARLESTOWN,-32.9645896,151.6966374,POINT (-32.9645896 151.6966374)
752,NSW,Eden-Monaro,Narooma,NAROOMA,-36.2162367,150.1291792,POINT (-36.2162367 150.1291792)
753,NSW,Eden-Monaro,Narooma PPVC,NAROOMA,-36.2167801,150.1308741,POINT (-36.2167801 150.1308741)
754,NSW,Eden-Monaro,Nimmitabel,NIMMITABEL,-36.5107,149.289,POINT (-36.5107 149.289)
